rank,name,title,status,commits,description,last_updated,last_checked,builder,has_screenshots,has_icon,has_prompts,prompt_count,repo_url,landing_url,categories
326,aicall,Aicall,Active,4,"A mobile app for poetry lovers to read, write, and share poems with AI guidance and community interaction.",2025-11-21T00:57:47Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aicall,https://aicall.miniapp-factory.marketplace.openxai.network,"Generator, Social"
327,aigainzz,Aigainzz,Active,4,"An AI‑powered mobile mini app that scans your gym exercises, detects movement errors, and provides a short clip of the correct form.",2025-11-20T15:59:37Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aigainzz,https://aigainzz.miniapp-factory.marketplace.openxai.network,"Fitness, Health"
328,aigrandma,Aigrandma,Active,4,"A versatile mini app template built by the Mini App Factory, ready to be customized for your next project.",2025-11-22T15:47:48Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aigrandma,https://aigrandma.miniapp-factory.marketplace.openxai.network,Utility
272,aihug,Aihug,Active,5,A simple app that sends a comforting virtual hug.,2025-11-22T15:44:19Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aihug,https://aihug.miniapp-factory.marketplace.openxai.network,Utility
,aijobmatch,Aijobmatch,Pending,,,,,,,,,,https://github.com/miniapp-factory/aijobmatch,https://aijobmatch.miniapp-factory.marketplace.openxai.network,
329,aiplanner,Aiplanner,Active,4,Plan your day based on tasks you provide.,2025-11-20T16:18:10Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aiplanner,https://aiplanner.miniapp-factory.marketplace.openxai.network,Utility
330,airdrop,Airdrop,Active,4,Airdrop Alert is a Mini App that keeps users updated on the latest and upcoming cryptocurrency airdrops.,2025-11-20T17:09:33Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/airdrop,https://airdrop.miniapp-factory.marketplace.openxai.network,"Airdrop, Alert, Crypto"
331,airdrop-claim-status-checker,Airdrop Claim Status Checker,Active,4,Airdrop Claim Status Checker is a Mini App that helps users track whether specific airdrops are currently claimable.,2025-11-22T13:45:30Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/airdrop-claim-status-checker,https://airdrop-claim-status-checker.miniapp-factory.marketplace.openxai.network,Game
332,airdrop-jav,Airdrop Jav,Active,4,Collect gems by completing missions and trade them for tickets and crypto rewards.,2025-11-22T13:07:49Z,2025-11-24T18:16:10.824682,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/airdrop-jav,https://airdrop-jav.miniapp-factory.marketplace.openxai.network,Casino
333,airport-simulation,Airport Simulation,Active,4,An interactive airplane simulation app built with the Mini App Factory!,2025-11-22T20:08:35Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/airport-simulation,https://airport-simulation.miniapp-factory.marketplace.openxai.network,Utility
21,aithereumnetwork,Aithereumnetwork,Active,5,Find out which animal you are most similar to with our fun quiz!,2025-11-23T12:41:46Z,2025-11-24T16:32:08.439488,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aithereumnetwork,https://aithereumnetwork.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
334,aiwriter,Aiwriter,Active,4,An app that writes short paragraphs about any topic in a clear style.,2025-11-20T16:34:57Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aiwriter,https://aiwriter.miniapp-factory.marketplace.openxai.network,Utility
273,aiy,Aiy,Active,5,Find out which animal you are most similar to with our fun quiz!,2025-11-21T01:47:35Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,2,https://github.com/miniapp-factory/aiy,https://aiy.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
335,alertwhale,Alertwhale,Active,4,An alert service for large trades and abnormal volume.,2025-11-20T18:56:04Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/alertwhale,https://alertwhale.miniapp-factory.marketplace.openxai.network,Game
913,alfiams,Alfiams,Default,1,An AI-powered tool that helps with mini app factory app.,2025-11-23T06:58:10Z,2025-11-24T17:13:16.323357,,Yes,Yes,No,0,https://github.com/miniapp-factory/alfiams,https://alfiams.miniapp-factory.marketplace.openxai.network,AI
,ali-ai,Ali Ai,Inactive,1,Ali Ai mini app on Mini App Factory,2025-11-24T05:52:18Z,2025-11-26T13:38:44.562365,,Yes,Yes,No,0,https://github.com/miniapp-factory/ali-ai,https://ali-ai.miniapp-factory.marketplace.openxai.network,Inactive
336,alias,Alias,Active,4,"A fast‑paced, image‑based guessing game inspired by Alias, where players describe pictures to teammates while avoiding forbidden words.",2025-11-21T00:22:31Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/alias,https://alias.miniapp-factory.marketplace.openxai.network,"Classic, Social"
274,alongdrop91,Alongdrop91,Active,5,Take the quiz to discover which animal you resemble most.,2025-11-20T16:33:22Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/alongdrop91,https://alongdrop91.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
914,alpha,Alpha,Default,1,An AI-powered tool that helps with mini app factory app.,2025-11-23T14:56:26Z,2025-11-24T17:13:16.323357,,Yes,Yes,No,0,https://github.com/miniapp-factory/alpha,https://alpha.miniapp-factory.marketplace.openxai.network,AI
337,alt,Alt,Active,4,A decentralized bridge enabling asset transfers across multiple blockchains.,2025-11-22T20:54:31Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/alt,https://alt.miniapp-factory.marketplace.openxai.network,Crypto
338,alta,Alta,Active,4,"A comprehensive platform for IDOs/ICOs featuring project vetting, user participation, staking, vesting schedules, KYC/AML, dashboards, and...",2025-11-22T21:14:03Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/alta,https://alta.miniapp-factory.marketplace.openxai.network,"Crypto, DeFi"
339,ander,Ander,Active,4,This app showcases crypto features.,2025-11-22T03:29:17Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ander,https://ander.miniapp-factory.marketplace.openxai.network,Crypto
340,animesuggest,Animesuggest,Active,4,Recommend 3 anime based on your favorite genre.,2025-11-22T15:32:56Z,2025-11-24T18:17:49.287365,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/animesuggest,https://animesuggest.miniapp-factory.marketplace.openxai.network,Utility
341,api04,Api04,Active,4,Play the classic 2048 game in a mini app.,2025-11-20T15:39:22Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/api04,https://api04.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
342,apka,Apka,Active,4,"A modern, AI‑powered cryptocurrency tracking app with real‑time charts, portfolio monitoring, and community insights.",2025-11-21T00:54:18Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/apka,https://apka.miniapp-factory.marketplace.openxai.network,"AI, Alert, Crypto, Education, Language Learning, Portfolio, Social, Tracker, Trading"
868,aplee,Aplee,Active,2,"Technical Specification (TS) – Emotional & Psychological State Tracker App
1.",2025-11-20T21:04:09Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aplee,https://aplee.miniapp-factory.marketplace.openxai.network,"Education, Fitness, Health, Language Learning, Platformer, Social"
343,app-factory,App Factory,Active,4,An app that helps you create other apps.,2025-11-22T20:21:37Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/app-factory,https://app-factory.miniapp-factory.marketplace.openxai.network,Other
,apple-print,Apple Print,Pending,,,,,,,,,,https://github.com/miniapp-factory/apple-print,https://apple-print.miniapp-factory.marketplace.openxai.network,
344,appmame,Appmame,Active,4,"Track, analyze, and manage your cryptocurrency investments with real‑time data, risk metrics, and alerts.",2025-11-20T21:47:44Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/appmame,https://appmame.miniapp-factory.marketplace.openxai.network,"AI, Platformer, Social"
345,apps,Apps,Active,4,An app for brainstorming sessions.,2025-11-20T19:36:26Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/apps,https://apps.miniapp-factory.marketplace.openxai.network,Other
,april,April,Pending,,,,,,,,,,https://github.com/miniapp-factory/april,https://april.miniapp-factory.marketplace.openxai.network,
346,april-time,April Time,Active,4,Spin the fruits and share your wins!,2025-11-22T09:07:51Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/april-time,https://april-time.miniapp-factory.marketplace.openxai.network,"Casino, Social"
915,april043030,April043030,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T08:21:20Z,2025-11-24T18:19:30.143747,,Yes,Yes,No,0,https://github.com/miniapp-factory/april043030,https://april043030.miniapp-factory.marketplace.openxai.network,AI
347,apsaa,Apsaa,Active,4,"A tool to store recipes, plan weekly meals, generate shopping lists, and search recipes by ingredients or categories.",2025-11-20T20:45:19Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/apsaa,https://apsaa.miniapp-factory.marketplace.openxai.network,"AI, Casino, Social"
348,aptos,Aptos,Active,4,Play the classic 2048 game in a mini app.,2025-11-20T17:13:22Z,2025-11-24T18:19:30.143747,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aptos,https://aptos.miniapp-factory.marketplace.openxai.network,"Puzzle, Social"
349,aqua-fish,Aqua Fish,Active,4,A fish-themed game where fish reproduce with varying rarity and can be sold in a marketplace.,2025-11-20T14:49:54Z,2025-11-24T18:21:43.376934,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aqua-fish,https://aqua-fish.miniapp-factory.marketplace.openxai.network,Game
66,ar,Ar,Active,4,"A comprehensive dashboard for token investment, ICO details, and related information.",2025-11-23T10:33:20Z,2025-11-24T17:00:42.938691,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/ar,https://ar.miniapp-factory.marketplace.openxai.network,"Crypto, Finance"
275,arbipeek,Arbipeek,Active,5,A mini app that highlights simple arbitrage opportunities between major crypto exchanges.,2025-11-20T19:04:55Z,2025-11-24T18:21:43.376934,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/arbipeek,https://arbipeek.miniapp-factory.marketplace.openxai.network,"Calculator, Crypto, DeFi"
276,archer,Archer,Active,5,Find out which animal you are most similar to with our fun quiz!,2025-11-20T16:36:12Z,2025-11-24T18:21:43.376934,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/archer,https://archer.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
916,arizronin,Arizronin,Active,1,An AI-powered tool that helps with mini app factory app.,2025-11-22T12:34:15Z,2025-11-24T18:21:43.376934,,Yes,Yes,No,0,https://github.com/miniapp-factory/arizronin,https://arizronin.miniapp-factory.marketplace.openxai.network,AI
350,aryan,Aryan,Active,4,Find out which animal you are most similar to with our fun quiz!,2025-11-20T20:28:43Z,2025-11-24T18:21:43.376934,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/aryan,https://aryan.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
869,asevedo,Asevedo,Active,2,"Allows someone to find out which animal (cat, dog, fox, hamster, horse) they are most similar to by answering 5 multiple.",2025-11-23T00:12:56Z,2025-11-24T18:21:43.376934,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/asevedo,https://asevedo.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
351,askmycrypto,Askmycrypto,Active,4,A bot that tweets about crypto projects.,2025-11-20T14:21:44Z,2025-11-24T21:15:24.876232,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/askmycrypto,https://askmycrypto.miniapp-factory.marketplace.openxai.network,"Crypto, Social"
352,askthechef,Askthechef,Active,4,Ask for ingredients and get a dish suggestion.,2025-11-22T15:43:00Z,2025-11-24T21:15:24.876232,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/askthechef,https://askthechef.miniapp-factory.marketplace.openxai.network,Utility
353,audiose,Audiose,Active,4,"A lightweight music‑sharing application that allows users to upload, share, and discover audio tracks.",2025-11-20T19:05:03Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/audiose,https://audiose.miniapp-factory.marketplace.openxai.network,"Game, Social"
354,audiotranscript-meetingsummarizer,Audiotranscript Meetingsummarizer,Active,4,Summarizes spoken recordings or transcripts.,2025-11-22T08:37:38Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/audiotranscript-meetingsummarizer,https://audiotranscript-meetingsummarizer.miniapp-factory.marketplace.openxai.network,Utility
355,auto-flashcardgenerator,Auto Flashcardgenerator,Active,4,Creates flashcards from text or uploaded images.,2025-11-22T02:52:09Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/auto-flashcardgenerator,https://auto-flashcardgenerator.miniapp-factory.marketplace.openxai.network,"Education, Generator"
356,automatic-mind-mapcreator,Automatic Mind Mapcreator,Active,4,Generate concept maps from a topic.,2025-11-22T03:02:51Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/automatic-mind-mapcreator,https://automatic-mind-mapcreator.miniapp-factory.marketplace.openxai.network,Generator
357,automatic-reportgenerator,Automatic Reportgenerator,Active,4,Summarizes business data into clean reports.,2025-11-22T04:17:07Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/automatic-reportgenerator,https://automatic-reportgenerator.miniapp-factory.marketplace.openxai.network,Generator
,awesome,Awesome,Pending,,,,,,,,,,https://github.com/miniapp-factory/awesome,https://awesome.miniapp-factory.marketplace.openxai.network,
,awuuu,Awuuu,Inactive,4,Awuuu mini app on Mini App Factory,2025-11-24T10:34:27Z,2025-11-26T13:38:44.562365,,Yes,Yes,No,0,https://github.com/miniapp-factory/awuuu,https://awuuu.miniapp-factory.marketplace.openxai.network,Inactive
358,babysimulator,Babysimulator,Active,4,"Simulate interactions between a parent and a baby, choosing responses to guide the scenario.",2025-11-22T11:43:52Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/babysimulator,https://babysimulator.miniapp-factory.marketplace.openxai.network,Utility
359,backtestlite,Backtestlite,Active,4,A simple web tool for testing manual trading strategies on historical data.,2025-11-20T18:57:47Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/backtestlite,https://backtestlite.miniapp-factory.marketplace.openxai.network,"Finance, Game"
360,balloonpopper,Balloonpopper,Active,4,A fun mini app where you tap balloons to pop them while avoiding penalty balloons.,2025-11-22T08:38:47Z,2025-11-24T22:04:22.401979,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/balloonpopper,https://balloonpopper.miniapp-factory.marketplace.openxai.network,Entertainment
361,bambex,Bambex,Active,4,An automated bot that trades futures on cryptocurrency markets.,2025-11-20T18:11:18Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/bambex,https://bambex.miniapp-factory.marketplace.openxai.network,"Crypto, Trading"
362,baobab,Baobab,Active,4,An app that analyzes your mood to recommend music.,2025-11-20T18:48:42Z,2025-11-24T21:18:36.188087,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/baobab,https://baobab.miniapp-factory.marketplace.openxai.network,Utility
228,base,Base,Active,7,Discover which blockchain aligns with your style by answering a quick quiz.,2025-11-21T20:21:07Z,2025-11-24T21:21:15.326751,,Yes,Yes,Yes,3,https://github.com/miniapp-factory/base,https://base.miniapp-factory.marketplace.openxai.network,"Education, Quiz, Social"
229,base-c,Base C,Active,7,Play the slot machine mini app and share your wins!,2025-11-20T17:05:26Z,2025-11-24T21:21:15.326751,,Yes,Yes,Yes,2,https://github.com/miniapp-factory/base-c,https://base-c.miniapp-factory.marketplace.openxai.network,"Casino, Social"
230,base-count-badge,Base Count Badge,Active,7,"A sleek, modern decentralized counter on Base with Farcaster integration and NFT badge gamification.",2025-11-21T08:35:23Z,2025-11-24T21:21:15.326751,,Yes,Yes,Yes,2,https://github.com/miniapp-factory/base-count-badge,https://base-count-badge.miniapp-factory.marketplace.openxai.network,Card Game
106,base-crash,Base Crash,Active,21,"Play Base Crash, a match‑3 game themed around the Base ecosystem.",2025-11-21T18:21:40Z,2025-11-24T21:21:15.326751,,Yes,Yes,Yes,7,https://github.com/miniapp-factory/base-crash,https://base-crash.miniapp-factory.marketplace.openxai.network,"Game, Social"
,base-dash,Base Dash,Pending,,,,,,,,,,https://github.com/miniapp-factory/base-dash,https://base-dash.miniapp-factory.marketplace.openxai.network,
107,base-gas,Base Gas,Active,20,"A real‑time dashboard showing Base network gas price, blob base fee, and block number.",2025-11-21T13:18:51Z,2025-11-24T21:21:15.326751,,Yes,Yes,Yes,7,https://github.com/miniapp-factory/base-gas,https://base-gas.miniapp-factory.marketplace.openxai.network,"Game, Tracker"
363,base-hamster-ceo,Base Hamster Ceo,Active,4,"Replicate Hamster Kombat on Base Chain: tap the Base logo to mine points, buy employees, earn passive income, and compete in referral leagues.",2025-11-21T16:34:28Z,2025-11-24T21:23:33.906663,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/base-hamster-ceo,https://base-hamster-ceo.miniapp-factory.marketplace.openxai.network,Card Game
364,base-match,Base Match,Active,4,"Instantly analyze Base wallet holdings, NFTs, and tx history to generate brutal/hilarious crypto personality profiles.",2025-11-22T03:22:06Z,2025-11-24T21:23:33.906663,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/base-match,https://base-match.miniapp-factory.marketplace.openxai.network,"AI Chat, Crypto, DeFi, Portfolio, Social"
365,base-meta,Base Meta,Active,4,"All transactions, volume, news and so many things going on Base will be available on Base-Meta. Everybody has access to it and doesn",2025-11-20T16:38:48Z,2025-11-24T21:23:33.906663,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/base-meta,https://base-meta.miniapp-factory.marketplace.openxai.network,Utility
870,base-mini,Base Mini,Active,2,"Slot machine with 3 columns and 3 rows, each slot contains one fruit.",2025-11-20T17:51:06Z,2025-11-24T21:23:33.906663,,Yes,Yes,Yes,1,https://github.com/miniapp-factory/base-mini,https://base-mini.miniapp-factory.marketplace.openxai.network,"Casino, Social"
